id,subject,sender,body,expected_cues
45,Tax Form Submission: Urgent Attention Needed,tax@easifile.tld,"Dear Customer, your tax form is overdue. Submit now to avoid fines. Click here to upload: http://tinyurl.com/yj4lbm4e. Late submissions will be penelized. Regards, Easifile Tax Team.","['urgency', 'threats', 'suspicious link', 'spelling error']"
46,Shared Document: Review and Sign,documents@fileshare.pro,"Dear Colleague, please review and sign this document: https://bit.ly/2SKVwVz. Your prompt attention is apreciated. Best, Fileshare Team.","['suspicious link', 'spelling error']"
47,Package Shipping Notice: Update Your Address,shipping@parcelsender.co,"Dear Customer, we need to update your shipping address. Click here to confirm: http://bit.ly/3cN1xGj. If not, your package will be delayed. Regards, Parcelsender Team.","['urgency', 'suspicious link']"
48,Invoice Payment: Immediate Attention Required,accounts@corpxyz.inc,"Dear Customer, your payment is overdue. Pay now to avoid account suspension: https://tinyurl.com/4n7p8jz. Late fees will apply. Best, Corpxyz Accounts.","['urgency', 'threats', 'suspicious link']"
49,Cloud Storage: Shared Folder Access,cloud@filehoster.net,"Dear User, you have been granted access to a shared folder. Click here to access: http://bit.ly/2XVkWnM. Please review the contents ASAP. Regards, Filehoster Team.","['urgency', 'suspicious link']"
50,Security Alert: Account Suspension Notice,security@seczone.info,"Dear User, your account will be suspended due to inactivity. Click here to verify your account: https://bit.ly/3dKbRtG. If not, you will lose access. Best, Seczone Security.","['urgency', 'threats', 'suspicious link']"
51,Security Alert: Unusual Sign-in Attempt,support@securezone.xyz,"Dear Customer, we have detected an unusual sign-in attempt on your account. Please act now to verify your identity and avoid account suspension. Click here to confirm: http://bit.ly/2WtKu3. If you don't respond within 24 hours, your account will be locked.","['urgency', 'threats', 'suspicious link']"
52,Benefits Enrollment: Action Required,hr@emplify.biz,"Dear Employee, you must enroll in our benefits program by the end of the week or you will loose your coverage. Please click on this link to access the enrollment form: https://tinyurl.com/y4ejwb. Don't miss this oppertunity to secure your benifits.","['urgency', 'spelling error', 'suspicious link']"
53,Software License Renewal: Immediate Attention Required,licensing@softpro.net,"Dear Customer, your software license is about to expire and must be renewed immediatly to avoid interuption of service. Please click here to renew: http://bit.ly/2YtVx4. If you don't renew, you will be liable for any damages caused by using expired software.","['urgency', 'threats', 'suspicious link']"
54,Meeting Invite: Calendar Update Required,calendar@meetings.io,"Dear Team, we have updated our meeting schedule and you must update your calendar to reflect the changes. Please click on this link to sync your calendar: https://meetings.io/calendar-update. If you don't update, you will miss important meetings.","['urgency', 'suspicious link']"
55,Expense Reimbursement: Action Required,accounting@expensify.tld,"Dear Employee, you have an outstanding expense report that must be reconciled by the end of the week or you will not be reimbursed. Please click on this link to access the reimbursement form: http://expensify.tld/reimburse. Don't miss this oppertunity to get reimbursed.","['urgency', 'spelling error', 'suspicious link']"
56,Security Alert: Account Suspension,security@safezone.xyz,"Dear Customer, we have detected suspicious activity on your account and will suspend it if you don't verify your identity immediatly. Please click here to verify: https://tinyurl.com/y6fwb4. If you don't respond, your account will be locked permanantly.","['urgency', 'threats', 'suspicious link']"
57,Tax Form: Urgent Attention Required,tax@taxify.io,"Dear Employee, you must complete your tax form by the end of the week or you will be subject to penaltys. Please click on this link to access the tax form: http://taxify.io/tax-form. Don't miss this oppertunity to avoid penaltys.","['urgency', 'spelling error', 'suspicious link']"
58,Benefits Enrollment: Deadline Approaching,hr@benefitszone.tld,"Dear Employee, the deadline to enroll in our benefits program is approaching and you must act now to secure your coverage. Please click on this link to access the enrollment form: https://benefitszone.tld/enroll. If you don't enroll, you will loose your benifits.","['urgency', 'spelling error', 'suspicious link']"
59,Software License Renewal: Final Notice,licensing@softwarepro.net,"Dear Customer, this is your final notice to renew your software license or it will expire and you will be liable for any damages caused by using expired software. Please click here to renew: http://softwarepro.net/renew. Don't miss this oppertunity to avoid interuption of service.","['urgency', 'threats', 'suspicious link']"
60,Meeting Invite: Urgent Update Required,calendar@meetingspro.io,"Dear Team, we have updated our meeting schedule and you must update your calendar immediatly to reflect the changes. Please click on this link to sync your calendar: https://meetingspro.io/calendar-update. If you don't update, you will miss important meetings and be held responsiable.","['urgency', 'suspicious link', 'spelling error']"
61,Action Required: Calendar Update,calendar@meetix.biz,"Dear Customer, your calender has been updated. Please act now and verify the changes by clicking this link: https://bit.ly/3aR2gF1. If you dont, your account will be suspended. Thank you for your promt attention to this matter. Best, The Meetix Team","['urgency', 'threats', 'generic greeting', 'spelling error', 'suspicious link']"
62,Expense Reimbursement Notification,accounting@payro.xyz,"Dear Employee, you have a pending expense reimbursement. To recieve your payment, please click on this link: http://payro.xyz/reimburse and fill out the form. Your account will be closed if you dont comply. Regards, Payro Accounting","['threats', 'generic greeting', 'suspicious link', 'urgency']"
63,Meeting Invite: Urgent Discussion,scheduler@ezmeet.net,"Dear Customer, you are invited to a meeting to discuss important matters. Please click here to accept: https://tinyurl.com/4s3a5d2. If you dont respond, your account will be suspended. Thank you, The Ezmeet Team","['urgency', 'threats', 'generic greeting', 'suspicious link']"
64,Calendar Update: New Meeting,meetings@calendy.io,"Dear User, a new meeting has been added to your calendar. Please review and confirm by clicking this link: http://calendy.io/meeting123. Your account will be deactivated if you dont. Best, Calendy Meetings","['threats', 'generic greeting', 'suspicious link', 'urgency']"
65,Expense Report: Action Required,expenses@paymatrix.cc,"Dear Employee, your expense report has been pending for too long. Please click here to submit: https://bit.ly/2aS3d1f. If you dont, your account will be suspended. Regards, Paymatrix Expenses","['urgency', 'threats', 'generic greeting', 'suspicious link']"
66,Meeting Invitation: Today,scheduler@quickmeet.pro,"Dear Customer, you are invited to a meeting today. Please click on this link to join: http://quickmeet.pro/meeting. Your account will be closed if you dont attend. Thank you, Quickmeet Scheduler","['urgency', 'threats', 'generic greeting', 'suspicious link']"
67,Calendar Reminder: Overdue,reminders@calrem.biz,"Dear User, you have an overdue task. Please click here to update: https://tinyurl.com/2a5s6d8. If you dont, your account will be deactivated. Best, Calrem Reminders","['urgency', 'threats', 'generic greeting', 'suspicious link']"
68,Expense Reimbursement: Pending,reimburse@payplex.online,"Dear Employee, your expense reimbursement is pending. Please click on this link to recieve your payment: http://payplex.online/reimburse. Your account will be suspended if you dont. Regards, Payplex Reimbursements","['threats', 'generic greeting', 'suspicious link', 'urgency']"
69,Meeting Update: New Time,meetings@ezsched.net,"Dear Customer, your meeting time has been updated. Please click here to confirm: https://bit.ly/3f4g5h2. If you dont respond, your account will be closed. Thank you, The Ezsched Team","['urgency', 'threats', 'generic greeting', 'suspicious link']"
70,Calendar Notification: Action Required,calendar@calify.io,"Dear User, your calendar has been updated. Please act now and verify the changes by clicking this link: http://calify.io/calendar. Your account will be deactivated if you dont comply. Best, Calify Calendar","['urgency', 'threats', 'generic greeting', 'suspicious link']"
71,Urgent: HR Policy Update Required,hr_dept@acmecorp.xyz,"Dear Customer, Your HR policy documents need to be updated immediatly. Please click this link to verify your informations: http://bit.ly/3aJU9mz. If not, your account will be suspended. Thank you for your prompt attention to this matter.","['urgency', 'generic greeting', 'suspicious link', 'spelling error']"
72,Package Delivery Notification,shipping@parcelservice.tld,"Dear Valued Customer, Your package is scheduled for delivery today. To track the status, please visit: https://tinyurl.com/4s3a9dn. Please note that someone must be present to sign for the package. If not, it will be returned to the sender.","['generic greeting', 'suspicious link']"
73,Overdue Invoice: Immediate Payment Required,accounts@b2bpayments.xyz,"Dear Customer, Your invoice is overdue and payment is required immediatly to avoid late fees. Please pay now via this link: http://bit.ly/2W9VwVz. If we dont recieve payment, we will be forced to take further action.","['urgency', 'threats', 'suspicious link', 'spelling error']"
74,Shared Document: Confidential,john_doe@cloudstorage.tld,"Dear Colleague, I have shared a confidential document with you. To access it, please click this link: https://www.cloudstorage.tld/shared/abc123. Please note that this document is confidential and should not be shared with anyone.","['generic greeting', 'suspicious link']"
75,Security Alert: Unusual Sign-in Activity,security@securelogin.xyz,"Dear User, We have detected unusual sign-in activity on your account. To secure your account, please click this link and verify your informations: http://bit.ly/3i2J6Tt. If you dont, your account will be suspended for security reasons.","['urgency', 'threats', 'suspicious link']"
76,Payroll Update: Action Required,payroll@hrservices.tld,"Dear Employee, Your payroll informations need to be updated immediatly. Please click this link to verify your details: https://tinyurl.com/yckwupe. If not, your pay may be delayed.","['urgency', 'generic greeting', 'suspicious link', 'spelling error']"
77,Cloud Storage: Shared Folder,jane_smith@cloudfile.tld,"Dear Team, I have shared a folder with you. To access it, please visit: http://bit.ly/2ZV9WVz. Please note that this folder contains confidential documents and should not be shared with anyone.","['generic greeting', 'suspicious link']"
78,Invoice Payment: Overdue,finance@invoicemanagement.xyz,"Dear Customer, Your invoice is overdue and payment is required now to avoid late fees. Please pay via this link: https://www.invoicemanagement.xyz/payment/abc123. If we dont recieve payment, we will take further action.","['urgency', 'threats', 'suspicious link', 'spelling error']"
79,Package Shipping: Delivery Confirmation,delivery@shippingcompany.tld,"Dear Valued Customer, Your package has shipped. To track the status, please click this link: http://bit.ly/3bJ9dKm. Please note that someone must be present to sign for the package.","['generic greeting', 'suspicious link']"
80,Security Notification: Account Activity,security_team@accountsecurity.xyz,"Dear User, We have detected unusual activity on your account. To secure your account, please verify your informations via this link: https://tinyurl.com/4f3a9bm. If you dont, your account will be suspended for security reasons.","['urgency', 'threats', 'suspicious link']"
81,Action Required: Cloud Storage Account,cloudsupport@datasafe.xyz,"Dear Customer, your cloud storage account will be suspended if you dont verify your identity immediatly. Please click this link to confirm: http://bit.ly/3aRdEF. This is a one-time verification proces. If you have any questions, please contact our support team.","['urgency', 'threats', 'suspicious link']"
82,Security Alert: Unusual Sign-in Attempt,securityalert@securezone.tld,"Dear User, we detected an unusual sign-in attempt on your account from a unknow location. To secure your account, please click here: https://tinyurl.com/4s2ead and follow the instructions. Your account will be locked if you dont take action now.","['urgency', 'threats', 'suspicious link']"
83,Benefits Enrollment: Action Required,benefits@hrdept.fake,"Dear Employee, you must enroll in our benefits program by the end of the week or you will not be eligable for coverage. Please click this link to enroll: http://bit.ly/2QW1rd. If you have any questions, please contact our HR department.","['urgency', 'suspicious link']"
84,Tax Form: Immediate Attention Required,taxsupport@financialservices.xyz,"Dear Customer, we need you to submit your tax form immediatly or you will incur penalties. Please click here to upload your form: https://upload.taxform.xyz. This is a secure connection.","['urgency', 'threats', 'suspicious link']"
85,Software License Renewal: Urgent,licensing@softwaresolutions.tld,"Dear User, your software license will expire soon and you will not be able to use our product if you dont renew now. Please click this link to renew: http://renew.licenseserver.xyz.","['urgency', 'suspicious link']"
86,Meeting Invite: Update Your Calendar,calendarupdate@meetingscheduler.fake,"Dear Attendee, we need you to update your calendar with the new meeting time. Please click this link to update: https://calupdate.bit.ly. This will ensure you recieve all meeting notifacations.",['suspicious link']
87,Shared Document: Please Review,documentshare@cloudservices.tld,"Dear Colleague, please review the shared document and provide your feedback by the end of the day. You can access the document here: http://docshare.xyz. This is a confidential document.","['urgency', 'suspicious link']"
88,Security Update: New Sign-in Procedure,securityupdate@securelogin.xyz,"Dear User, we have implemented a new sign-in procedure for security reasons. Please click this link to update your sign-in credentials: https://securelogin.tinyurl.com.",['suspicious link']
89,Account Suspension: Verify Your Identity,accountsupport@datasafe.fake,"Dear Customer, your account will be suspended if you dont verify your identity immediatly. Please click this link to confirm: http://bit.ly/2QW1rd. This is a one-time verification proces.","['urgency', 'threats', 'suspicious link']"
90,Calendar Update: New Meeting Schedule,meetingscheduler@calendarupdate.tld,"Dear Attendee, we have updated the meeting schedule and you need to update your calendar. Please click this link to update: https://calupdate.bit.ly. This will ensure you recieve all meeting notifacations.",['suspicious link']
91,Renew your SoftTech license now,admin@softtech.xyz,"Dear Customer, your SoftTech software license is about to expire. You must renew now to avoid interruption of service. Click here to renew: http://bit.ly/softtech-renew. If you don't, your license will be suspended and you'll lose all your work.","['urgency', 'threats', 'suspicious link']"
92,Meeting Invite: Urgent Discussion,meeting@calendarupdate.tld,"Dear Colleague, you are invited to an urgent meeting to discuss important matters. Please click this link to accept: https://tinyurl.com/meeting-invite. The meeting is scheduled for tomorrow, so act now to avoid missing it. Your input is crucial.","['urgency', 'generic greeting', 'suspicious link']"
93,Expense Reimbursment Pending,accounting@expensifypro.net,"Dear Employee, your expense reimbursement is pending due to missing informations. Please click here to upload the required documents: http://expensifypro.net/upload. You must do this ASAP to get your reimbursement on time.","['urgency', 'spelling error', 'suspicious link']"
94,Software License Expiring Soon,license@softwarerocks.io,"Dear Customer, your software license is expiring in 24 hours. You must renew immediately to avoid service interruption. Click this link to renew: https://softwarerocks.io/renew-license. If you don't, you'll lose access to our software.","['urgency', 'threats', 'suspicious link']"
95,Calendar Update: New Meeting,calendar@meetinginvites.tld,"Dear Colleague, a new meeting has been scheduled for today. Please click this link to update your calendar: http://meetinginvites.tld/update. You must act now to avoid missing the meeting.","['urgency', 'generic greeting', 'suspicious link']"
96,Reimbursment for Expenses,finance@reimbursmentpro.xyz,"Dear Employee, you have pending expenses that need to be reimbursed. Please click here to upload the required documents: https://reimbursmentpro.xyz/upload-docs. You must do this now to get your reimbursement on time.","['urgency', 'spelling error', 'suspicious link']"
97,Urgent: Software Update Required,support@softtechpro.net,"Dear Customer, an urgent software update is required to fix a critical issue. Please click this link to download the update: http://softtechpro.net/update. If you don't, your software will be compromised.","['urgency', 'threats', 'suspicious link']"
98,Meeting Canceled: New Invite,meeting@calendarupdate.io,"Dear Colleague, the previous meeting has been canceled. A new meeting has been scheduled for tomorrow. Please click this link to accept the new invite: https://calendarupdate.io/new-invite. You must act now to avoid missing the meeting.","['urgency', 'generic greeting', 'suspicious link']"
99,Expense Report: Action Required,accounting@expensify.io,"Dear Employee, your expense report requires action. Please click here to review and update: http://expensify.io/review-report. You must do this ASAP to get your reimbursement on time.","['urgency', 'generic greeting', 'suspicious link']"
100,License Renewal: Last Chance,license@softwarerocks.tld,"Dear Customer, this is your last chance to renew your software license. If you don't renew now, your license will be suspended. Click this link to renew: https://softwarerocks.tld/renew. Act now to avoid losing access to our software.","['urgency', 'threats', 'suspicious link']"
101,Action Needed: Password Expiration,it@compaxion.net,"Dear Customer, your password will expire in 24 hours. Act now to avoid account suspension. Click here to update: http://bit.ly/2KpZTI5. If you dont update, you will loose access to all systems. Please hurry, this is urgent.","['urgency', 'threats', 'suspicious link']"
102,HR Policy Update: Immediate Attention Required,hr@emplyeezone.xyz,"Dear Employee, we have updated our company policy. You must review and accept the new terms by the end of the day. Failure to comply will result in disciplinary action. Click here to review: https://tinyurl.com/4s5a2d8. This is mandatory, dont ignore.","['urgency', 'threats', 'generic greeting']"
103,Package Delivery Notification,shipping@packagexpro.tld,"Dear Customer, your package is awaiting delivery. Please click here to confirm: http://bit.ly/3a5tBcD. If you dont confirm, your package will be returned to sender. This is your last chance, act now.","['urgency', 'suspicious link']"
104,Overdue Invoice: Payment Request,accounts@paymetronline.biz,"Dear Customer, your invoice is overdue. You must pay immediatly to avoid late fees. Click here to pay now: https://goo.gl/fe3W1a. If you dont pay, we will send your account to collections.","['urgency', 'threats', 'spelling error']"
105,Shared Document: Urgent Review Required,cloud@filesharepro.io,"Dear Colleague, please review the shared document ASAP. Click here to access: http://bit.ly/2RrT5I2. If you dont review, the project will be delayed. This is urgent, dont wait.","['urgency', 'suspicious link']"
106,Account Verification: Immediate Attention,security@safezonebank.online,"Dear Customer, we need to verify your account. Please click here to confirm: https://tinyurl.com/y6a2f9d8. If you dont confirm, your account will be suspended. This is a security measure, dont ignore.","['urgency', 'threats', 'suspicious link']"
107,Payroll Update: Action Required,payroll@emplyeeservice.io,"Dear Employee, we have updated our payroll system. You must log in to confirm your details. Click here to access: http://bit.ly/2VpZTI9. If you dont confirm, your payment will be delayed.","['urgency', 'suspicious link']"
108,Cloud Storage: Shared Folder Access,cloud@filestoragepro.xyz,"Dear Colleague, please access the shared folder ASAP. Click here to access: https://goo.gl/e7W2d1a. If you dont access, you will miss important documents. This is urgent, dont wait.","['urgency', 'suspicious link']"
109,Invoice Payment: Overdue Notice,accounts@billingservices.tld,"Dear Customer, your invoice is overdue. You must pay now to avoid late fees. Click here to pay: http://bit.ly/3b5tGcD. If you dont pay, we will send your account to collections. This is your last chance.","['urgency', 'threats', 'suspicious link']"
110,Package Tracking: Delivery Update,shipping@trackmypackage.online,"Dear Customer, your package is on its way. Please click here to track: https://tinyurl.com/y9a2f9d8. If you dont track, you will miss the delivery. This is urgent, dont ignore.","['urgency', 'suspicious link']"
111,Overdue Invoice for Q2,accounts@ezibiz.xyz,"Dear Customer, your invoice for Q2 is overdue. Please act now to avoid late fees. Click here to pay: http://bit.ly/3aPz9D. If not paid within 24 hours, your account will be suspended. Regards, Ezibiz Team","['urgency', 'threats', 'suspicious link']"
