id,subject,sender,body
41,Student Research Employment,[Unknown],"First Example Cornell University, Department of History Needs the services of students as research assistants. They are to work remotely and get paid $500 Weekly... The research position is open to students from any department in the institution, and tasks can be carried out remotely. It gives students opportunities to study and earn money without affecting academic performances or time. Tasks can be carried out remotely with less work time a week. If you're interested kindly Text Professor  [Spoofed Name]  on Instagram at ([username]) message Only. acknowledging your full name, email address, year of study, a and department to receive the job description and further application requirements Best regards.  Department of HistoryCornell University Second Example Cornell University, Department of History Needs the services of students as research assistants. They are to work remotely and get paid $500 Weekly... The research position is open to students from any department in the institution, and tasks can be done out remotely. It gives students opportunities to study and earn money without affecting academic study or time.Tasks can be carried out remotely with less work time a week. If you're interested kindly Text Professor [Spoofed Name] on Instagram at ( [username] ) message Only. acknowledging your full name, email address, year of study, a and department to receive the job description and further application requirements Best regards. Department of History Cornell University"
42,Are you free now ?,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] "" or ""[Spoofed Name] ""and may impersonate a member of university leadership. The message may vary. Do not reply to the sender. The scammer's goal is typically to coerce the recipient into purchasing gift cards. Are you free now ?"
43,Job Opportunity At Cornell University,[Unknown],"The Cornell University, Department of Statistics and Data Science urgently requires the service of students as research assistants. They are to work remotely and get paid $450 weekly. The research position is open to students from any department in the institution, and tasks can be carried out remotely. It gives excellent opportunities for students to study and earn money without affecting academic performances or leisure time. Tasks can be carried out remotely with less work time a week. To proceed with the application process, contact Professor [first name, last name] at +1 (* Zero *) * Zero * * * * Two. via text message or Botim App Messenger acknowledging your full name, email address, year of study, and department to receive the job description and further application requirements. Best regards. C/o [first name, last name] Title: Professor Department of Statistics and Data Science Cornell University"
44,Office Support_Desk: Restore Failed Deliveries,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""Expedited Retrieval <[user]@skytechcontrol.io>"". The link within directs to a fake login page. Do not follow the link nor contact the sender. If you entered your credentials into the linked form, change your NetID password immediately at https://netid.cornell.edu. Hello NetID@cornell.edu, We have restricted 2 incoming Cornell messages due to a server error. Consult and choose what to do with them. Recover messages Cornell Help Center"
45,Research Assistant Opportunities at Cornell University,[Unknown],"This phish typically originates from a non-Cornell email address. The sender may appear as ""[Spoofed Name] (student) <[user]@yahoo.com>"". Do not reply to the sender nor contact the phone number in the email. This is not a legitimate offer of employment. See https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams From the Office of the Professor The College of Arts & Sciences Cornell Center for Social Sciences This message is from the office of Professor [Spoofed Name] of the Psychology department. I am an administrative assistant to the professor and have been directed to broadcast this message to announce the department's latest job openings to qualified Undergraduate and Graduate students interested in working remotely.  Cornell University, Department of Psychology, urgently requires the service of students as research assistants, whose mentoring/teaching and engagement will contribute to our interconnected goals of excellence, diversity, equity, and inclusion. They will assist in literature searches, data collection and analysis, and manuscript preparation. They will also help design experiments, recruit participants, and manage databases. They are eligible to work remotely and get paid $551.25 weekly. This gives excellent opportunities for students to study and earn money, including assigned research work, mentorship, travel funding, and program-based professional development opportunities related to scholarship and teaching to prepare them for possible tenure-track appointments in the Institution for employment or pursuing a Ph.D. Also, the position provides a variety of support activities for students, including networking events, grant writing workshops, and research training. Additionally, the department furnishes tools to help researchers identify potential grant-funding organizations. NB. The research position applications are open to all students from any academic department in the Institution. They can be referred to anyone interested in filling this position, and tasks can be done remotely. All this could be achieved without affecting academic performance or leisure time. The job description is with less work time a week, and it is very flexible and won't affect other daily activities. This research project is continually in progress all year round (during fall, summer, or winter), as we are working in partnership with other departments, research, and development educational programs. Therefore, there is no fixed duration for the research project. To proceed with the application process and other eligibility descriptions, please get in touch with Professor [Spoofed Name]'s research application number at +1 (###) ###-#### via text message acknowledging your full name, email address, year of study, and department to receive the job description and further application requirements. Best regards. C/O [Spoofed Name] Title: Professor Department of Psychology Cornell University. KG17 Klarman Hall Ithaca, NY 14853"
46,Review and sign,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""eDocs||cornell <[user]@chem.kyushu-univ.jp>"". Do not scan the QR code nor contact the sender. The QR code directs to a fake login page. If you entered your credentials into the page, change your NetID password immediately at https://netid.cornell.edu. DocuSign® Your have a pending document to review and sign. SCAN THE BARCODE TO REVIEW DOCUMENT [NetID] NetID@cornell.edu All parties have been completed. Download the attachment above to review and electronically sign the pending document. When DocuSign is applied, there is no requirement for a paper copy to be produced. Thank You, Cornell Do Not Share This Email This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others. About DocuSign Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go - or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™. Questions about the Document? If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly. Stop receiving this email Report this email or read more about Declining to sign and Managing notifications. If you are having trouble signing the document, please visit the Help with Signing page on our Support Center. * Download the DocuSign App This message was sent to you by [Name Redacted] who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request."
47,"Cornell-Approval Request for [Name] on October 28, 2023[Time] [AM/PM]",[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""Cornell via DocsShare <[user]@aminoresq.com>"". Do not reply to the sender nor scan the QR code. The QR code directs to a fake login page. If you entered your credentials into the form, change your NetID password immediately at https://netid.cornell.edu DocuSign Your document has been completed to review and sign. SCAN BARCODE TO VIEW DOCUMENT Name NetID@cornell.edu Executed Settlement Agreement. Name, Please sign at your earliest convenience. Do Not Share This Email This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others. About DocuSign Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe - - DocuSign provides a professional trusted solution for Digital Transaction Management . Questions about the Document? If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly. It you would rather not receive email from this sender you may contact the sender with your request"
48,Re: Final Settlement Agreement Approved Today - #date1##,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""E-Signature - Cornell <[user]@shonacareltd.co.uk>"". The number in the subject may vary. The link within directs to a fake login page. Do not follow the link nor contact the sender. If you entered your credentials into the page, change your NetID password immediately at https://netid.cornell.edu. DocuSign You received a document to review and sign! VIEW RECEIVED DOCUMENTS All signers completed Complete with DocuSign: Non_Disclosure_Agreement.pdf"
49,"Subject varies: ""Cell Phone Number # Request"", ""Send me your available cell number""",[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] <[user]@gmail.com>"" and impersonates a member of university leadership. The sender and message body may vary slightly, but typically always includes only a short message or just a signature block. Do not reply to the sender. The scammer's goal is typically to coerce the victim into purchasing gift cards. Kingly Prvoide cell phone number to reach you at.-- Best regards, [Spoofed Name] Dean of the [College Name]"
50,"Crucial DocShare: Your Signatory Required for [NetID] on Friday, February 9, 2024",[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""!SharePoint <[user]@16803.org>"". The link within directs to a fake login page. Do not follow the link nor contact the sender. If you entered your credentials into the linked page, change your NetID password immediately at https://netid.cornell.edu. Sharepoint Hello user@cornell.edu, you have received a new secured document to review and sign today! Review Document"
