,title,date_time,email_message
67,Cornell: MSecurity Access Expires Today 1/25/2024,"Thu, 01/25/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""Service Administration &lt;[user]@douglasgaragedoor.com&gt;"". The link within directs to a fake login page. Do not click the link nor contact the sender. If you entered your credentials into the page, change your NetID password immediately at&nbsp;<a href=""https://netid.cornell.edu/"">https://netid.cornell.edu</a>.</div>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure>


<!-- THEME DEBUG -->
<!-- THEME HOOK: 'entity_embed_container' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->
<div data-entity-type=""media"" data-entity-uuid=""4d60b4c2-076e-4472-aa62-bbcae10b1ef0"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-ms-2024.1.25.png"" width=""1208"" height=""678"" alt=""A fake Microsoft-branded notification with a Keep My Password button."">

<!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' -->



<!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->


  
<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->



<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->

</div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->


<figcaption>Microsoft
Access to (Email) expires instantly Today,
To keep default password, follow the link below
KEEP MY PASSWORD
Microsoft Security Team
NOTE: Further messages may be prevented if the above action is not taken.</figcaption>


<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->

</figure>

<p>&nbsp;</p>
"
68,"Subject varies: ""Sibley School - Research Assistants Needed"", ""Opportunity for Research Assistants""","Thu, 01/25/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] &amp;lt[user]@gmail.com&gt;"". The subject and exact body text may vary. Do not reply to the sender nor contact the phone number within the email. This is not a legitimate offer for employment. See&nbsp;<a href=""https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams""><strong>Beware of Job and Internship Scams</strong></a>&nbsp;from Career Services.</div>

<p>Cornell University, Sibley School of &nbsp;Mechanical and Aerospace Engineering is currently seeking the services of Research Assistants to work remotely or in person with our research team to support ongoing data collection and analysis.<br>
<strong>Department Required Skills;</strong><br>
- Highly motivated, with strong organizational and communication skills.<br>
-Excellent problem-solving skills<br>
-Team player who is able to work in a fast paced environment with a multi-disciplinary team.<br>
<strong>Preferred Years Experience, Skills, Training, Education;</strong>Experience primarily using Windows operating systems<br>
-Ability to adequately use Microsoft Excel.<br>
This is a part-time position with a flexible schedule, and the successful candidate will work approximately 6 -7 hours for $350 &nbsp;weekly. The position offers valuable research experience, and the opportunity to work with a dynamic and collaborative research team on campus.<br>
If interested in the position, submit a copy of your resume and your class schedule to proceed further or contact Professor [Spoofed Name] via text message for a quick response on (###) ###-####.</p>

<p>Best Regards,</p>

<p><br>
c/o</p>

<p>[Spoofed Name]<br>
Professor<br>
<strong>Sibley School of Mechanical and Aerospace Engineering</strong><br>
Upson Hall, Room 252</p>

<p></p>
"
69,Reference: (ETF/Remittance For [NetID]@cornell.edu Dated: Wednesday-January-2024 [Time] [AM/PM]) 'Ref:####',"Wed, 01/24/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""DocsOnlineSuite Shared-Via-Cornell-Notification &lt;[user]@webmastercentral.co.uk&gt;"". The link within directs to a fake login page. Do not click the link nor contact the sender. If you entered your credentials into the page, change your NetID password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.</div>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure>


<!-- THEME DEBUG -->
<!-- THEME HOOK: 'entity_embed_container' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->
<div data-entity-type=""media"" data-entity-uuid=""db084b04-47fe-49b9-9b4b-2580c085790e"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-docusign-2024.1.24.png"" width=""735"" height=""809"" alt=""A fake DocuSign-branded notification."">

<!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' -->



<!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->


  
<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->



<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->

</div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->


<figcaption>DocuSign
You have received a secured document
VIEW DOCUMENT
Please complete with your electronic signature by following the link above.
Thank You!
Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.
Alternate Signing Method
Visit DocuSign.com, click 'Access Documents', and enter the security code:
[code]
* Download the DocuSign App
This message was sent to you by [Name] who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.</figcaption>


<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->

</figure>

<p>&nbsp;</p>
"
70,Document Completed: Complete viaSign # - [NetID]@cornell.edu,"Wed, 01/24/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""DocSgn Via Share-Point | Cornell ® &lt;[user]@e-broad.ne.jp&gt;"". The link within directs to a fake login page. Do not click the link nor contact the sender. If you entered your credentials into the page, change your NetID password immediately at&nbsp;<a href=""https://netid.cornell.edu/"">https://netid.cornell.edu</a>.</div>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure>


<!-- THEME DEBUG -->
<!-- THEME HOOK: 'entity_embed_container' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->
<div data-entity-type=""media"" data-entity-uuid=""c71f0e3e-644e-45ba-b413-4bf1ff41ee79"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-docusign-2024.1.24-2.png"" width=""841"" height=""478"" alt=""A fake DocuSign-branded notification with a View Completed Document button."">

<!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' -->



<!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->


  
<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->



<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->

</div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->


<figcaption>DocuSign
Your document is ready
VIEW COMPLETED DOCUMENT
Legal Disclaimer Privileged/confidential information may be contained in this message and may be subject to legal privilege. Access to this email by anyone other than the intended is unauthorized. If you are not the intended recipient (or responsible for delivery of the message to such person), you may not use, copy, distribute or deliver to anyone this message (or any part of its contents) or take any action in reliance on it. In such case, you should destroy this message and notify us immediately. If you have received this email in error, please notify us immediately by email or telephone and delete the email from any computer. If you or your employer does not consent to internet email messages of this kind, please notify us immediately. All reasonable precautions have been taken to ensure no viruses are present in this email. As our company cannot accept responsibility for any loss or damage arising from the use of this email or attachments, we recommend that you subject this email to your virus checking procedures prior to use. The views, opinions, conclusions and other information expressed in this electronic mail are not given or endorsed by the company unless otherwise indicated by an authorized representation independent of this message.</figcaption>


<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->

</figure>

<p>&nbsp;</p>
"
71,New Phone Message,"Wed, 01/24/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""Cornell Call Compliance &lt;[user]@icloud.com&gt;"". Do not scan the QR code nor contact the sender. The QR code directs to a fake login page. If you entered your credentials into the page, change your NetID password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.</div>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure>


<!-- THEME DEBUG -->
<!-- THEME HOOK: 'entity_embed_container' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->
<div data-entity-type=""media"" data-entity-uuid=""6356b37f-18dc-450a-84db-ea41a94852c8"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-ms-teams-qr-2024.1.23.png"" width=""659"" height=""830"" alt=""A fake Microsoft Teams notification asking the recipient to scan a QR code for a voicemail."">

<!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' -->



<!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->


  
<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->



<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->

</div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->


<figcaption>Ні,
You have recieved a voicemail on Microsoft Teams.
Scan QR Code with your (Smart Phone) to play Voicemail
Hi User, A Voicemail has been sent to you, Scan QR Code to play voicemail +1 (349)DL/AF/KL...</figcaption>


<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->

</figure>

<p>&nbsp;</p>
"
72,Re: [Recipient Name],"Tue, 01/23/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell address. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates an employee. Do not reply to the sender. The scammer's goal is a fraudulent financial transfer via personal payment tools such as Zelle.</div>

<p>[Recipient Name], I am currently out of office with limited phone accessibility. Will you be able to handle an Operating Expense on our behalf?</p>

<p>[Name] is unavailable to get it done now, Let me know if you can pay for it through Zelle so I can send you the vendor's Zelle information. I will have your reimbursement processed once the treasurer is available.</p>

<p>Kind Regards,<br>
[Spoofed Name]</p>

<p></p>
"
73,"Cornell | Default System Expire Today, [Time] [AM/PM],Tuesday, January 23, 2024","Tue, 01/23/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""Cornell.edu Authentication &lt;[user]@chrysoliteaesthetics.com&gt;"". The link within directs to a fake Microsoft-branded login page. Do not follow the link nor contact the sender. If you entered your credentials into the linked page, change your NetID password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.</div>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure>


<!-- THEME DEBUG -->
<!-- THEME HOOK: 'entity_embed_container' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->
<div data-entity-type=""media"" data-entity-uuid=""14d52426-775f-4326-ad83-cf8982fca52c"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-ms-phish-2024.23.1.png"" width=""1526"" height=""576"" alt=""A fake Microsoft-branded password expiration notification for a Cornell University email."">

<!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' -->



<!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->


  
<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->



<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->

</div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->


<figcaption>Microsoft
Your (NetID@cornell.edu) Expires Today, Tuesday, January 23, 2024
We recommend that you use the below to keep password valid to avoid login interruption.
KEEP MY PASSWORD
The communication and/or transmission are subject to Cornell.edu General Terms and Conditions, a copy of which can be provided upon review.</figcaption>


<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->

</figure>

<p>&nbsp;</p>
"
74,Employee Benefits Program,"Tue, 01/23/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">The message copied below is an example of a phishing campaign. It is not a legitimate offer. If you receive this or a similar message, do not respond to the sender, click any links, or open any attachments.</div>

<p></p>

<p>We're excited to announce that the Employee Assistance Program (E.A.P) is now open for applications, welcoming all current employees for the end-of-2023 round. Eligible employees can now request funding of up to $5,000.</p>

<p></p>

<p>The E.A.P presents a multitude of avenues for support. Employees can apply for various forms of assistance, including financial aid, relief materials, short-term counseling, referrals, and ongoing services. Embedded within our ongoing dedication at the Employee Support Service (ESS) to bolstering employee well-being, the Employee Assistance Program is designed to ease financial burdens and extend a helping hand.</p>

<p></p>

<p>To apply for the New EAP, please use the following link.</p>

<p></p>

<p>Please note that the E.A.P portal is secure, and you will need to authenticate with your Campus profile to access the application portal.</p>

<p></p>

<p>Sincerely,</p>

<p></p>

<p><b>[Name]</b></p>

<p>Employee Support Service (ESS)</p>
"
75,"Subject varies: ""Winter Session Employment!!"", ""Student Employment Research"", ""Winter Session Employment Research""","Tue, 01/23/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""Indeed: students Job Search &lt;[user]@atlanticbb.net&gt;"". The subject and exact body text may vary. Do not reply to the sender nor contact the Instagram account within the email. This is not a legitimate offer for employment. See <a href=""https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams""><strong>Beware of Job and Internship Scams</strong></a> from Career Services.</div>

<p>Cornell University, Department of History Needs the services of students as research assistants. They are to work remotely and get paid $600 Weekly...</p>

<p></p>

<p>The research position is open to students from any department in the institution, and tasks can be carried out remotely. It gives students opportunities to study and earn money without affecting academic performances or time. Tasks can be carried out remotely with less work time a week.</p>

<p></p>

<p>If you're interested kindly Text Professor [Spoofed Name] on Instagram ([username]) message Only. acknowledging your full name, email address, year of study, a and department to receive the job description and further application requirements</p>

<p></p>

<p>Best regards.</p>

<p>Department of History</p>

<p>Cornell University</p>
"
76,Microsoft IT Support case ID: Email De-activation Request,"Sat, 01/20/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell address. The sender may appear as ""airbubble@t-online.de &lt;AIRBUBBLE@t-online.de&gt;"". The link within directs to a fake ""email verification"" form. Do not follow the link nor contact the sender. If you entered your credentials into the linked page, change your NetID password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.</div>

<p>We received a request from you to deactivate your College/University Email Address some days ago and this has been processed by our administrator.<br>
&nbsp;<br>
We believe this request might be sent in error or by an unauthorized user.<br>
&nbsp;<br>
If you do not request for your email deactivation or you think you received this message in error, kindly <a href=""#"">Verify</a> your email right away to keep away from Deactivation<br>
&nbsp;<br>
Warm Regards,<br>
&nbsp;<br>
IT Support Center<br>
Instructor.&nbsp;</p>
"
77,CORNELL UNIVERSITY,"Tue, 01/16/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell email address. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates a university employee. Do not contact the sender nor the Gmail address in the body of the message. The scammer's goal is financial fraud.</div>

<p>Dear faculty and staff,</p>

<p>One of our staff at Cornell University, Ms. [Spoofed Name] is downsizing and looking to give away her late dad’s piano to a loving home. The Piano is a 2014 Yamaha Baby Grand used like new. I will not be checking this email often. You can write to her to indicate your interest on her private email [user]@gmail.com to arrange inspection and delivery with a moving company.</p>

<p>Sincerely,</p>

<p>[Spoofed Name]<br>
Consultant/Advisor Spec<br>
Administration and Technology<br>
Email: [user]@cornell.edu<br>
NetID: [NetID]<br>
Phone: 607/###-####<br>
Address: 395 Pine Tree Road</p>

<p>&nbsp;</p>
"
78,Kindly get back to me ASAP. It's important,"Tue, 01/16/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] [user]@gmail.com&gt;"" and impersonates a member of university leadership. Do not reply to the sender. The scammer's goal is typically to coerce the recipient into purchasing gift cards.</div>

<p>Are you available at the moment? I need you to handle a project. I'm heading to a meeting with limited phone communication .</p>

<p>Regards</p>
"
79,Advanced Internship Opportunity,"Tue, 01/16/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">Do not reply to the sender nor contact the Gmail address in the message body. Do not contact the phone number contained within the email. This is not a valid job offer. See&nbsp;<a href=""https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams"">Beware of Job and Internship Scams</a>&nbsp;from Career Services.</div>

<div><b>Subject:</b>&nbsp;Advanced Internship Opportunity

<div></div>
</div>

<div>
<div>CORNELL UNIVERSITY</div>

<div></div>

<div>The Department of Computer Science is currently seeking individuals interested in working remotely as research assistants. The engagement has a weekly work allocation of 5-7 hours with a weekly remuneration of $350-$400. The position is open to alumni and current students regardless of their academic departments. It's a flexible remote job that doesn't require prior experience. Thus, it is possible to accomplish assigned tasks during your regular working hours without interfering with your academic performance or leisure time.</div>

<div></div>

<div>Please text Prof. [first name last] at (***) ***-***‬ with the following information if you would like to discuss the job offer: your full name, academic year, official email address, and department affiliation.</div>

<div></div>

<div>Further information regarding the job application process will be communicated to you via the official email address. Kindly acknowledge receipt of this offer whether or not you are interested. Thank you!</div>

<div></div>

<div>Kind regards,</div>

<div>C/o</div>

<div>[first name last]</div>

<div>Tittle: Professor</div>

<div>Department of Computer Science</div>

<div>Cornell&nbsp;University</div>

<div>(***) ***-***‬</div>
</div>

<p></p>
"
80,"New voice message from [Name], on Monday January 29, 2024 [Time] [AM/PM] for mailbox [Number]","Mon, 01/29/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""Lori [Surname] &lt;[user]@bissnussinc.com&gt;"". The email contains a PDF attachment that directs to a fake login page. If you entered your credentials into the page, change your NetID password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.</div>

<h3>Message Body</h3>

<p>You have received a voice mail message from LORI [Surname] for mailbox [Number].<br>
Message length is 00:00:39. Message size is 312 KB</p>

<p><br>
Lori [Surname], P.E.</p>

<p>BissNuss Inc.</p>

<p>2600 Boyce Plaza Road, Suite 218</p>

<p>Pittsburgh, PA 15241</p>

<p>Phone: 412-###-####</p>

<p>Fax: 412-###-####</p>

<p>Cell: 412-###-####</p>

<p>Email: [user]@bissnussinc.com</p>

<p>Web: www.bissnussinc.com</p>

<h3>Attachment</h3>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure>


<!-- THEME DEBUG -->
<!-- THEME HOOK: 'entity_embed_container' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->
<div data-entity-type=""media"" data-entity-uuid=""d9448d55-79cd-4ae9-8843-da2e6f6893f9"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-voicemail-2024.1.29.png"" width=""827"" height=""566"" alt=""A fake voicemail notification with an orange Listen to Voice Message button"">

<!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' -->



<!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->


  
<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->



<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->

</div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->


<figcaption>New voice message from 412-###-#### LORI [Surname] on Monday January 29, 2024 9:30 AM for mailbox 4562
Voice Message Details:
From: 412-###-####
Date: Monday, January 29, 2024
Message Length: (1 minute and 3 seconds)
Mailbox: Lori [Surname] ([user]@bissnussinc.com)
Voice.WAV
356 KB
LISTEN TO VOICE MESSAGE
VOICE MESSAGE POWERED BY CLOUDFARE</figcaption>


<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->

</figure>
"
81,Available cellphone number?,"Thu, 01/11/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates a member of university leadership. Do not reply to the sender. The scammer's goal is typically to coerce the recipient into purchasing gift cards.</div>

<p>Best Best regards</p>

<p><br>
[Spoofed Name]<br>
Vice President for University Relations of<br>
Cornell University<br>
Ithaca, NY</p>

<p>&nbsp;</p>
"
