id,subject,sender,body,expected_cues,vtriad_tactic
16,Payment Request for Outstanding Invoice,finance@luminariagroup.com,"Hello Team, we have an outstanding invoice that requires your attention. Please settle the payment of $5,000 by the end of the week to avoid any late fees. You can find the invoice details on our website. If you have any questions, please don't hesitate to reach out to our finance team.","['payment request', 'outstanding invoice', 'late fees']",danger
17,Cloud Storage: Updated Employee Handbook,hr-admin@pinnaclecorp.com,"Dear Employees, we've updated the employee handbook and uploaded it to our cloud storage. Please review the new policies and procedures and acknowledge that you've read the updated handbook by responding to this email. Your cooperation is appreciated.","['cloud storage', 'employee handbook', 'updated policies']",tribal
18,Security Warning: Phishing Attempt,it-security@nexgeninc.com,"Hello Team, we've detected a phishing attempt targeting our employees. Please be cautious when receiving emails with links or attachments from unknown senders. If you've received any suspicious emails, please report them to our IT department immediately.","['security warning', 'phishing attempt', 'report to IT']",danger
19,Tax Form: Benefits Enrollment Confirmation,hr-benefits@omniumhealth.com,"Dear Employees, this is a confirmation that your benefits enrollment and tax form have been received. Please review the details and ensure that everything is accurate. If you have any questions or concerns, please don't hesitate to reach out to our HR department.","['tax form', 'benefits enrollment confirmation', 'HR department']",visceral
20,Invoice Payment: Accounts Payable,accounts-payable@providencorp.com,"Hello Vendors, this is a reminder that your invoice payment is now due. Please settle the outstanding amount by the end of the week to avoid any late fees. You can find the payment details on our website. If you have any questions, please don't hesitate to reach out to our accounts payable team.","['invoice payment', 'accounts payable', 'late fees']",tribal
21,Benefits Enrollment: Action Required,hr@omnitechinc.com,"Dear All, as we approach the new fiscal year, it is essential to review and update your benefits enrollment. Please log in to our internal portal to confirm your current selections. This will ensure uninterrupted coverage and compliance with company policies. If you have any questions or concerns, do not hesitate to reach out to the HR department.","['login to portal', 'confirm selections']",tribal
22,Tax Form Distribution: Important Update,payroll@evergreenenterprises.com,"Hello Team, as part of our ongoing effort to streamline internal processes, we are introducing a new digital platform for tax form distribution. To access your documents, please click on the link provided in the company's intranet under the 'Employee Resources' section. If you encounter any difficulties, contact the payroll department for assistance.","['click on link', 'access documents']",danger
23,Software License Renewal Notice,it@novasoftsolutions.com,"Dear Colleagues, our software licenses are due for renewal. To ensure continuous access to critical tools, please verify your current license assignments and report any changes to the IT department by the end of the week. This proactive measure will help maintain our operational efficiency and compliance with software vendors' requirements.","['verify licenses', 'report changes']",visceral
24,Meeting Invitation: Quarterly Review,management@excellevents.com,"Hello Team, you are invited to our upcoming quarterly review meeting, scheduled for next Thursday. The meeting agenda includes discussions on current projects, future strategies, and team performance. Please RSVP by Wednesday to ensure an accurate headcount for arrangements. Your participation and input are invaluable to our collective success.","['RSVP', 'meeting agenda']",tribal
25,Calendar Update: New Holiday Schedule,administration@unitedbizservices.com,"Dear All, as we approach the holiday season, please note the updated holiday schedule now available on the company calendar. This includes recently added observances and adjusted office hours. We encourage you to plan accordingly to ensure a smooth workflow during this period. If you have any questions, feel free to reach out to the administration office.","['check calendar', 'plan accordingly']",visceral
26,Expense Reimbursement: Procedure Reminder,finance@primeworksinc.com,"Hello Team, as a reminder, all expenses must be submitted through our online reimbursement system. Please ensure that all receipts are digitized and attached to your claims, and that you have completed the mandatory expense report form. This will facilitate a prompt and efficient reimbursement process.","['submit expenses online', 'attach receipts']",danger
27,Benefits Open Enrollment Period,benefits@corporatecareers.com,"Dear Employees, the open enrollment period for benefits is now open. This is your opportunity to review, change, or enroll in the company's health, dental, and vision plans. Please visit the benefits portal to explore your options and make any necessary adjustments before the deadline. The HR department is available for any questions or guidance.","['visit benefits portal', 'enroll in plans']",tribal
28,Software Update: Mandatory Installation,it@globaltechsolutions.com,"Hello Team, a critical software update is now available, addressing recent security patches and performance enhancements. All employees are required to install this update on their company devices by the end of the week to ensure network security and compliance. Instructions are provided on the IT support page.","['install update', 'check IT support page']",danger
29,Meeting Reschedule: Project Discussion,projectmanagement@innovatechs.com,"Dear Team, due to unforeseen circumstances, the project discussion meeting previously scheduled for today has been rescheduled for tomorrow at the same time. The meeting will cover key project milestones, deadlines, and action items. Your attendance and participation are crucial for the project's success. Please update your calendars accordingly.","['update calendars', 'attend meeting']",visceral
30,Expense Report Deadline: End of Quarter,accounting@profinancecorp.com,"Hello All, as the quarter comes to a close, please ensure that all expense reports for the period are submitted by the end of the week. This will enable the accounting department to process reimbursements and close the quarter's books in a timely manner. Late submissions may result in delays. If you have any questions, please contact the accounting team.","['submit reports', 'contact accounting']",danger
31,Expense Reimbursement Policy Update,itdept@eztecinc.com,"As part of our ongoing efforts to optimize business operations, we have updated our expense reimbursement policy. The revised policy aims to improve the reimbursement process and provide clearer guidelines for employees. To access the updated policy, please visit the company intranet. If you have any questions or concerns, do not hesitate to reach out to your department's administrative assistant.","['updated policy', 'reimbursement process']",tribal
32,Action Required: Expense Report Deadline,accounting@novapexcorp.com,"This is a friendly reminder that the deadline for submitting expense reports for the current quarter is approaching. To ensure timely reimbursement, please review and submit your reports by the end of the week. If you encounter any issues, please contact the accounting department for assistance.","['deadline', 'expense reports']",danger
33,Notification: New Expense Reimbursement System,hr@veltecglobal.com,"We are excited to announce the launch of our new expense reimbursement system, designed to streamline the process and improve user experience. The new system will be available starting next week, and training sessions will be provided to ensure a smooth transition. For more information, please visit the company intranet or contact the HR department.","['new system', 'training sessions']",visceral
34,Important: Expense Reimbursement Policy Compliance,compliance@paragoninc.com,"As part of our ongoing commitment to maintaining the highest standards of compliance, we would like to remind all employees of the importance of adhering to our expense reimbursement policy. Please review the policy and ensure that all expenses are properly documented and submitted in accordance with company guidelines.","['compliance', 'policy guidelines']",danger
35,Update: Expense Reimbursement Process for International Travel,travel@korvuscorp.com,"We have updated our expense reimbursement process for international travel to reflect changes in tax regulations and company policies. Please review the updated guidelines and ensure that all expenses related to international travel are submitted accordingly. If you have any questions, please contact the travel department.","['international travel', 'tax regulations']",tribal
36,Reminder: Expense Report Submission for Quarterly Review,finance@lyraent.com,"As we approach the end of the quarter, please remember to submit your expense reports for review. This will ensure that all expenses are properly accounted for and reimbursed in a timely manner. If you have any questions or concerns, please do not hesitate to reach out to the finance department.","['quarterly review', 'expense reports']",danger
37,New Expense Reimbursement Thresholds,procurement@zenithglobal.com,"We have established new expense reimbursement thresholds to better align with industry standards and company policies. Please review the updated thresholds and ensure that all expenses are submitted in accordance with these new guidelines. For more information, please contact the procurement department.","['new thresholds', 'industry standards']",tribal
38,Expense Reimbursement Training Sessions,training@pulsarcorp.com,"We are offering training sessions to help employees navigate our expense reimbursement system and ensure compliance with company policies. The sessions will cover topics such as expense reporting, reimbursement procedures, and policy guidelines. To register, please visit the company intranet.","['training sessions', 'compliance']",visceral
39,Update: Expense Reimbursement for Company Events,events@apexsys.com,"We have updated our expense reimbursement policy for company-sponsored events to provide clearer guidelines and ensure consistency. Please review the updated policy and ensure that all expenses related to company events are submitted accordingly. If you have any questions, please contact the events department.","['company events', 'policy guidelines']",tribal
40,Notification: Expense Reimbursement System Maintenance,it@omniaent.com,"Our expense reimbursement system will be undergoing scheduled maintenance to improve performance and security. During this time, the system will be unavailable. We apologize for any inconvenience and appreciate your patience. For more information, please contact the IT department.","['system maintenance', 'unavailability']",danger
41,Action Required: Package Delivery Notification,it.support@omnitechcorp.com,"Dear All, A package is awaiting collection at the reception desk. The parcel is addressed to the Finance department and is marked as confidential. If you are the intended recipient, please collect it by the end of the day. Please verify your identity with the reception team to ensure secure release. For any inquiries, contact the IT support team.","['package delivery', 'confidential', 'verification required']",visceral
42,Overdue Invoice for Q2 Services,accounts.payable@pinnacleinc.com,"Dear Department Heads, This is a friendly reminder that an invoice for Q2 services is now overdue. To avoid any late payment fees, please settle the outstanding amount by the end of the week. You can find the invoice attached to this email or contact our accounts payable team for any questions.","['overdue invoice', 'late payment fees']",danger
43,Shared Document: Quarterly Review and Objectives,hr.department@excelleont.com,"Hello Team, As we approach the mid-year review, we have shared a document outlining the quarterly review process and objectives. Please access the document via our cloud storage link provided below. Your input and feedback are invaluable to us, and we look forward to your participation. If you encounter any issues, please don't hesitate to reach out to the HR department.","['shared document', 'quarterly review']",tribal
44,Security Alert: Unusual Sign-in Activity Detected,security.team@fortisec.com,"Dear All, Our security system has flagged an unusual sign-in attempt from an unrecognized location. As a precautionary measure, we recommend that you change your password and ensure your account settings are up-to-date. For any assistance or concerns, please contact our security team directly.","['unusual sign-in', 'password change']",danger
45,Benefits Enrollment: Tax Form Submission,benefits.admin@unitedhealthinc.com,"Hello Employees, As part of our benefits enrollment process, please find attached the necessary tax forms that require your prompt attention. Your timely submission will ensure uninterrupted benefits coverage. If you have any questions or need clarification, our benefits administration team is here to assist you.","['benefits enrollment', 'tax forms']",tribal
46,Important: Package Redelivery Attempt,logistics.support@skylinerlogistics.com,"Dear Recipient, We are attempting to redeliver a package that was previously undeliverable due to an incorrect address. To arrange for a successful delivery, please confirm your current address and availability by responding to this email. Your cooperation is greatly appreciated, and we look forward to hearing back from you.","['package redelivery', 'address confirmation']",visceral
47,Payment Request for Outstanding Invoices,finance.department@dynastycorp.com,"Dear Valued Partners, We appreciate your prompt attention to the outstanding invoices currently due. To avoid any disruptions to our services, please settle these invoices by the specified deadline. For any payment-related inquiries or concerns, our finance department is available to provide assistance.","['outstanding invoices', 'payment request']",danger
48,Cloud Storage Update: Shared Files Access,it.services@novainfo.com,"Hello Team, As part of our ongoing efforts to enhance collaboration, we have updated our cloud storage platform to include improved shared file access. Please find the updated link below to access shared documents. If you encounter any issues or require assistance, our IT services team is here to help.","['cloud storage', 'shared files']",tribal
49,Security Notification: Account Verification Required,security.alerts@proteansec.com,"Dear Users, As a security measure, we are conducting a periodic account verification process. To ensure the integrity of our systems, please verify your account details by following the link provided below. Your prompt response is appreciated, and please contact our security team if you have any questions.","['security notification', 'account verification']",danger
50,Benefits Enrollment: Open Enrollment Period,hr.benefits@corebenefitsinc.com,"Hello Employees, Our open enrollment period for benefits is now underway. Please take a moment to review the available benefits packages and enroll or make changes as necessary. For any questions or assistance, our HR benefits team is available to provide support during this period.","['benefits enrollment', 'open enrollment']",tribal
51,Security Alert: Unusual Sign-in Activity,it@novacorp.tech,"Dear Team, we've detected unusual sign-in activity from an unknown location. As a precaution, please verify your account credentials and update your password. This will ensure the security of our network and protect sensitive data. If you have any questions or concerns, please don't hesitate to reach out to the IT department.","['unusual sign-in', 'update password']",visceral
52,Benefits Enrollment: Important Deadline,hr@omniuminc.com,"Hello Employees, this is a reminder that benefits enrollment is now open. Please review and update your benefits selections by the end of the month to ensure uninterrupted coverage. If you have any questions, please contact the HR department. We're here to help you make informed decisions about your benefits.","['benefits enrollment', 'deadline']",tribal
53,Software License Renewal: Action Required,finance@pulsarcorp.net,"Dear Department Heads, our software licenses are up for renewal. To avoid any disruption to our operations, please review and approve the renewal agreements by the end of the week. If you have any questions or concerns, please reach out to the finance team. We appreciate your prompt attention to this matter.","['software license', 'renewal']",danger
54,Meeting Invite: Quarterly Review,management@apexsys.com,"Hello Team, you're invited to our quarterly review meeting, scheduled for next Wednesday. We'll be discussing progress, goals, and strategies for the upcoming quarter. Please RSVP and come prepared with your updates and questions. We look forward to seeing you there.","['quarterly review', 'RSVP']",tribal
55,Expense Reimbursement: New Procedure,accounts@zenithco.io,"Dear Employees, we've implemented a new expense reimbursement procedure to streamline the process and reduce errors. Please review the updated guidelines and submit your expenses accordingly. If you have any questions or concerns, please don't hesitate to reach out to the accounts team.","['expense reimbursement', 'new procedure']",visceral
56,Tax Form: Important Update,payroll@kairosinc.com,"Hello Team, we've updated our tax form to reflect recent changes in tax regulations. Please review and complete the updated form to ensure compliance and avoid any potential issues. If you have any questions, please contact the payroll department.","['tax form', 'update']",danger
57,Calendar Update: Holiday Schedule,hr@luminatech.net,"Dear Employees, we've updated the company calendar to reflect the upcoming holiday schedule. Please review and plan accordingly to ensure a smooth operation during the holiday season. If you have any questions or concerns, please don't hesitate to reach out to the HR department.","['holiday schedule', 'calendar update']",tribal
58,Security Alert: Phishing Attempt,it@nevadacorp.io,"Dear Team, we've detected a phishing attempt targeting our employees. Please be cautious when receiving emails with suspicious links or attachments. If you've received such an email, please report it to the IT department immediately. We're working to protect our network and data.","['phishing attempt', 'report']",visceral
59,Benefits Enrollment: Open Enrollment Period,hr@corvusinc.com,"Hello Employees, this is a reminder that the open enrollment period for benefits is now open. Please review and update your benefits selections during this time to ensure you have the coverage you need. If you have any questions, please contact the HR department. We're here to help.","['open enrollment', 'benefits']",tribal
60,Software License Renewal: Compliance Notice,finance@paragoncorp.tech,"Dear Department Heads, we're required to comply with software licensing regulations. Please review and approve the renewal agreements to ensure we're meeting our obligations. If you have any questions or concerns, please reach out to the finance team. We appreciate your attention to this matter.","['software license', 'compliance']",danger
61,Calendar Update: Team Meeting Reschedule,emily.wilson@pinnaclecorp.com,"Dear Team, due to unforeseen circumstances, our team meeting previously scheduled for Thursday at 2 PM has been rescheduled to Friday at 10 AM. Please update your calendars accordingly. If you have any conflicts, kindly notify me by return email. I appreciate your flexibility and look forward to seeing you all on Friday.","['reschedule', 'update calendars']",tribal
62,Expense Reimbursement for Recent Conference,david.lee@pinnaclecorp.com,"Hello Team, as a reminder, please submit your expense reports for the recent marketing conference by the end of the week. Ensure all receipts are attached and expenses are categorized correctly. If you have any questions or concerns, feel free to reach out to me directly. Your prompt attention to this matter is greatly appreciated.","['expense reports', 'receipts']",visceral
63,Meeting Invitation: Quarterly Review,samantha.hall@evergreeninc.com,"Hello Everyone, you are invited to our quarterly review meeting scheduled for next Wednesday at 3 PM. We will be discussing key performance indicators and setting new objectives. Your participation and input are valuable to us. Please RSVP by return email and let me know if you have any topics you would like to add to the agenda.","['quarterly review', 'RSVP']",tribal
64,Update on Expense Reimbursement Policy,olivia.martin@evergreeninc.com,"Dear Colleagues, please note that our expense reimbursement policy has been updated. The new policy includes additional categories for reimbursement and clarifies the process for submitting claims. You can find the updated policy on our intranet under the finance section. If you have any questions, please do not hesitate to contact the finance department.","['updated policy', 'intranet']",danger
65,Calendar Reminder: Mandatory Training Session,kevin.white@brooksidecorp.com,"Hello Team, this is a friendly reminder that our mandatory training session is scheduled for tomorrow at 9 AM. It is crucial that all team members attend, as we will be covering important updates to our company procedures. If you are unable to attend, please notify your supervisor as soon as possible.","['mandatory training', 'supervisor']",danger
66,Expense Report for Recent Travel,laura.davis@brooksidecorp.com,"Hello Everyone, if you have not already done so, please submit your expense reports for the recent business trip. Ensure that all expenses are properly documented and categorized. If you encounter any issues, please reach out to the finance team for assistance. Your cooperation in this matter is greatly appreciated.","['expense reports', 'finance team']",visceral
67,Meeting Invitation: Project Update,james.wilson@crestviewinc.com,"Hello Team, you are invited to a meeting to discuss the current status of our ongoing project. The meeting is scheduled for Thursday at 11 AM. We will be reviewing progress, addressing challenges, and outlining next steps. Your input and participation are valuable to the project's success.","['project update', 'participation']",tribal
68,Reimbursement for Professional Development,rachel.kim@crestviewinc.com,"Dear Colleagues, as a reminder, the company offers reimbursement for professional development courses. If you have recently completed a course, please submit your reimbursement request along with proof of completion and receipts for any associated costs. For more information, please refer to the company intranet.","['professional development', 'reimbursement request']",visceral
69,Update to Company Calendar,chris.taylor@hilltopcorp.com,"Hello Everyone, please note that the company calendar has been updated to reflect new holidays and observances. Ensure that you review the updated calendar to avoid any scheduling conflicts. If you have any questions or need assistance, please contact the HR department.","['updated calendar', 'HR department']",tribal
70,Expense Reimbursement Deadline Reminder,amanda.brown@hilltopcorp.com,"Hello Team, this is a reminder that the deadline for submitting expense reports for the last quarter is approaching. Please ensure that you submit your reports by the end of the week to avoid any delays in reimbursement. If you have any questions, please reach out to the finance team for assistance.","['expense reports', 'deadline']",danger
71,Update to Employee Handbook,hr@omnitechinc.com,"Dear Team, as part of our ongoing commitment to excellence, we have updated our Employee Handbook to reflect changes in company policies. Please review the new document, available on our shared drive, and acknowledge your understanding by signing the attached form. Your cooperation is appreciated.","['review', 'acknowledge', 'sign']",tribal
72,Package Delivery Notification,facilities@majestycorp.com,"Hello, a package has been delivered to the reception area in your name. To ensure security, please collect it by the end of the day. If you are unable to do so, kindly inform the facilities team so we can make alternative arrangements.","['collect', 'inform']",visceral
73,Overdue Invoice for Services Rendered,accounts@helixsys.com,"Dear Department, we have an outstanding invoice for services provided last quarter. To avoid any disruption, please settle the amount by the end of the week. Instructions for payment are on the invoice, available on our cloud storage.","['settle', 'payment']",danger
74,Shared Document: Quarterly Report,marketing@axiomnet.com,"Team, the latest quarterly report is now available on our shared drive. Your input and feedback are crucial for our next steps, so please review and comment on the document by the end of the week.","['review', 'comment']",tribal
75,Security Alert: Unusual Sign-in Activity,itsecurity@pulsarcorp.com,"Dear Colleagues, our system has detected unusual sign-in activity from your account. For your security, please verify your login details and change your password if necessary. Further instructions are available on our IT portal.","['verify', 'change']",danger
76,Payroll Update: Direct Deposit,payroll@florioninc.com,"Hello Team, as part of our efforts to streamline payroll, we are transitioning to direct deposit for all employees. Please ensure your bank details are up-to-date on our HR system to avoid any delays.","['update', 'bank details']",visceral
77,New Cloud Storage Policy,compliance@vectracorp.com,"Dear Employees, to enhance data security, we are implementing a new cloud storage policy. Please review the guidelines on our intranet and ensure all documents are stored according to the new policy.","['review', 'guidelines']",tribal
78,Invoice for Recent Purchase,procurement@novainc.com,"Hello, we have processed the payment for your recent purchase. The invoice is attached for your records. If you have any questions, please do not hesitate to contact the procurement team.","['payment', 'questions']",danger
79,Package Shipping Notice,logistics@kaidos.com,"Dear Team, we have arranged for a package to be shipped to your location. Tracking details are provided in the attached document. Please monitor the delivery status and inform us of any issues.","['monitor', 'inform']",visceral
80,HR Policy Update: Flexible Work Arrangements,hr@dynacorp.com,"Dear Colleagues, as part of our commitment to work-life balance, we have updated our policy on flexible work arrangements. Please review the new policy on our HR portal and discuss any questions with your supervisor.","['review', 'discuss']",tribal
81,Action Required: Cloud Storage Migration,it.support@novacorp.io,"As part of our ongoing effort to enhance data security and compliance, we are migrating our cloud storage to a new platform. All employees are required to update their cloud storage settings by the end of the week. Please find the updated settings and instructions on our internal wiki. If you have any questions or concerns, do not hesitate to reach out to the IT support team.","['cloud storage', 'migration', 'update settings']",visceral
82,Security Alert: Unusual Sign-in Activity,security.team@apexinc.net,"Our security system has detected unusual sign-in activity on your account. As a precautionary measure, we recommend that you change your password and review your account settings. Please note that this is a routine security check and there is no immediate cause for concern. If you have any questions, please contact the security team.","['security alert', 'unusual sign-in', 'change password']",danger
83,Benefits Enrollment: Open Enrollment Period,hr.benefits@zenithcorp.com,"The open enrollment period for benefits is now available. All employees are encouraged to review and update their benefits selections during this time. Please note that any changes made during this period will take effect on the first day of the next month. If you have any questions or need assistance, please contact the HR benefits team.","['benefits enrollment', 'open enrollment', 'update selections']",tribal
84,Software License Renewal: Important Reminder,procurement.team@pulsarinc.io,"Our software license agreement is set to expire soon. In order to avoid any disruptions to our operations, we need to renew the license as soon as possible. Please find the renewal instructions and payment details on our internal procurement portal. If you have any questions or concerns, please reach out to the procurement team.","['software license', 'renewal', 'expiration']",danger
85,Meeting Invite: Calendar Update,calendar.team@luminatecorp.com,"We have updated our company calendar to reflect the new meeting schedule. Please review the updated calendar and make any necessary adjustments to your personal schedule. If you have any questions or need assistance, please contact the calendar team.","['meeting invite', 'calendar update', 'schedule']",tribal
86,Shared Document: Confidentiality Agreement,legal.team@kaidencorp.io,"We have uploaded a new confidentiality agreement template to our shared document repository. All employees are required to review and sign the agreement as soon as possible. Please note that this is a routine update and there is no immediate cause for concern. If you have any questions, please contact the legal team.","['shared document', 'confidentiality agreement', 'review and sign']",visceral
87,Tax Form: Important Deadline Reminder,finance.team@paragoninc.net,"The deadline for submitting tax forms is approaching soon. All employees are reminded to complete and submit their tax forms on time to avoid any penalties. Please find the tax form template and submission instructions on our internal finance portal. If you have any questions or need assistance, please contact the finance team.","['tax form', 'deadline', 'submission instructions']",danger
88,Cloud Storage: New Folder Structure,it.support@novacorp.io,"We have introduced a new folder structure for our cloud storage to improve organization and accessibility. All employees are encouraged to review the new structure and update their files accordingly. Please note that this is a routine update and there is no immediate cause for concern. If you have any questions, please contact the IT support team.","['cloud storage', 'new folder structure', 'update files']",tribal
89,Security Alert: Phishing Attempt Detected,security.team@apexinc.net,"Our security system has detected a phishing attempt targeting our employees. As a precautionary measure, we recommend that you be cautious when clicking on links or providing sensitive information. Please note that this is a routine security check and there is no immediate cause for concern. If you have any questions, please contact the security team.","['security alert', 'phishing attempt', 'caution']",danger
90,Benefits Enrollment: Dependent Coverage,hr.benefits@zenithcorp.com,"We are reminding all employees that the benefits enrollment period is now open, and you can add or update dependent coverage during this time. Please review the dependent coverage options and make any necessary changes. If you have any questions or need assistance, please contact the HR benefits team.","['benefits enrollment', 'dependent coverage', 'update selections']",tribal
91,Action Required: Software License Renewal for Q2,it.notifications@easternunioncorp.com,"Dear Team, this is a reminder that our software licenses for Q2 are due for renewal. To avoid any disruptions to our operations, please review the attached document for the list of licenses that require renewal. If you have any questions or concerns, please do not hesitate to reach out to the IT department. Your prompt attention to this matter is greatly appreciated.","['review attached document', 'contact IT department']",tribal
92,Meeting Invite: Quarterly Finance Review,finance.updates@pacificpinnacleinc.com,"Hello Everyone, you are invited to the quarterly finance review meeting scheduled for next Thursday at 2 PM. The meeting will cover our Q1 performance and discuss key financial initiatives for the upcoming quarter. Please RSVP to this email to confirm your attendance. If you have any topics you would like to add to the agenda, please let us know by the end of the day tomorrow.","['RSVP to email', 'add topics to agenda']",tribal
93,Expense Reimbursement Update: New Policy Guidelines,hr.notifications@midwestmanagementservices.com,"Dear Colleagues, as part of our ongoing efforts to enhance our internal processes, we have updated our expense reimbursement policy. The new guidelines are attached to this email for your review. Please note that all expense reports submitted after April 1st will be subject to the new policy. If you have any questions or concerns, please reach out to the HR department for assistance.","['review attached guidelines', 'contact HR department']",danger
94,Software License Audit: Compliance Review,compliance.notices@continentalcorp.com,"Hello Team, as part of our regular compliance reviews, we will be conducting a software license audit next month. To ensure we are in compliance with our licensing agreements, please verify that all software installations on your devices are authorized and up-to-date. If you have any questions or concerns, please do not hesitate to reach out to the IT department for guidance.","['verify software installations', 'contact IT department']",danger
95,Calendar Update: New Meeting Schedule,admin.assist@unitedstatesunified.com,"Hello Everyone, please note that the meeting schedule for the upcoming quarter has been updated. The new schedule is available on the shared calendar. If you have any conflicts or changes to your availability, please update your calendar settings accordingly. Your cooperation in this matter is greatly appreciated.","['update calendar settings', 'review shared calendar']",tribal
96,Expense Report Deadline: Q1 Submission,accounting.notices@americafirstinc.com,"Dear Team, this is a reminder that the deadline for submitting Q1 expense reports is approaching. To ensure timely reimbursement, please submit your reports by the end of the week. If you have any questions or concerns about the submission process, please reach out to the accounting department for assistance.","['submit expense reports', 'contact accounting department']",visceral
97,IT Security Reminder: Best Practices,it.security@nationalnetworks.com,"Hello Everyone, as we continue to enhance our IT security measures, we would like to remind you of the importance of following best practices when using company devices and networks. Please review the attached document for a list of recommended security guidelines. If you have any questions or concerns, please do not hesitate to reach out to the IT department.","['review attached document', 'contact IT department']",danger
98,Meeting Invite: Departmental Strategy Session,department.leads@globalgatesinc.com,"Dear Team, you are invited to a departmental strategy session scheduled for next Wednesday at 10 AM. The meeting will cover key initiatives and goals for the upcoming quarter. Please RSVP to this email to confirm your attendance. If you have any topics you would like to discuss during the meeting, please let us know by the end of the day tomorrow.","['RSVP to email', 'suggest discussion topics']",tribal
