step_id,agent_id,email_id,source,actual_class,workday_hour,time_of_day,suspicion_threshold,max_cues_processed,age,education_level,job_complexity,cues_extracted,decision,suspicion_counter,cues_scanned,cues_perceived,total_fatigue,final_jp,fpl
88,agent_000,89,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
89,agent_000,90,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
90,agent_000,91,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
91,agent_000,92,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,2,2,"['urgency', 'spelling_grammar']",5.0,1.161,0.355
92,agent_000,93,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
93,agent_000,94,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
94,agent_000,95,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
95,agent_000,96,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['spelling_grammar'],5.0,1.161,0.355
96,agent_000,97,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
97,agent_000,98,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
98,agent_000,99,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
99,agent_000,100,spamassassin_ham,0,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
100,agent_000,101,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,5,reported,3,5,"['emotional_appeal', 'suspicious_sender', 'urgency']",5.0,1.161,0.355
101,agent_000,102,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
102,agent_000,103,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
103,agent_000,104,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,2,2,"['urgency', 'spelling_grammar']",5.0,1.161,0.355
104,agent_000,105,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,2,2,"['urgency', 'spelling_grammar']",5.0,1.161,0.355
105,agent_000,106,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['urgency'],5.0,1.161,0.355
106,agent_000,107,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
107,agent_000,108,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
108,agent_000,109,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
109,agent_000,110,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
110,agent_000,111,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
111,agent_000,112,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['urgency'],5.0,1.161,0.355
112,agent_000,113,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
113,agent_000,114,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
114,agent_000,115,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['spelling_grammar'],5.0,1.161,0.355
115,agent_000,116,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
116,agent_000,117,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
117,agent_000,118,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['urgency'],5.0,1.161,0.355
118,agent_000,119,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
119,agent_000,120,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
120,agent_000,121,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,2,2,"['urgency', 'spelling_grammar']",5.0,1.161,0.355
121,agent_000,122,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
122,agent_000,123,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
123,agent_000,124,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['urgency'],5.0,1.161,0.355
124,agent_000,125,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
125,agent_000,126,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
126,agent_000,127,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
127,agent_000,128,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
128,agent_000,129,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
129,agent_000,130,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,2,2,"['spelling_grammar', 'urgency']",5.0,1.161,0.355
130,agent_000,131,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,2,2,"['spelling_grammar', 'urgency']",5.0,1.161,0.355
131,agent_000,132,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
132,agent_000,133,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
133,agent_000,134,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
134,agent_000,135,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
135,agent_000,136,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['urgency'],5.0,1.161,0.355
136,agent_000,137,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
137,agent_000,138,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
138,agent_000,139,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
139,agent_000,140,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
140,agent_000,141,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
141,agent_000,142,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
142,agent_000,143,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['urgency'],5.0,1.161,0.355
143,agent_000,144,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['spelling_grammar'],5.0,1.161,0.355
144,agent_000,145,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
145,agent_000,146,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['urgency'],5.0,1.161,0.355
146,agent_000,147,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['spelling_grammar'],5.0,1.161,0.355
147,agent_000,148,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['urgency'],5.0,1.161,0.355
148,agent_000,149,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
149,agent_000,150,phishbowl,1,8.0,8am,3,10,30.7,2.6,5.0,3,clicked,1,3,['spelling_grammar'],5.0,1.161,0.355
150,agent_000,151,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
151,agent_000,152,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
152,agent_000,153,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
153,agent_000,154,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
154,agent_000,155,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
155,agent_000,156,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
156,agent_000,157,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
157,agent_000,158,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
158,agent_000,159,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
159,agent_000,160,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
160,agent_000,161,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['personal_info'],5.0,1.161,0.355
161,agent_000,162,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
162,agent_000,163,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
163,agent_000,164,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
164,agent_000,165,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
165,agent_000,166,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
166,agent_000,167,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['personal_info'],5.0,1.161,0.355
167,agent_000,168,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
168,agent_000,169,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
169,agent_000,170,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
170,agent_000,171,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['personal_info'],5.0,1.161,0.355
171,agent_000,172,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
172,agent_000,173,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
173,agent_000,174,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
174,agent_000,175,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
175,agent_000,176,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
176,agent_000,177,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['personal_info'],5.0,1.161,0.355
177,agent_000,178,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
178,agent_000,179,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
179,agent_000,180,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
180,agent_000,181,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
181,agent_000,182,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
182,agent_000,183,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
183,agent_000,184,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['personal_info'],5.0,1.161,0.355
184,agent_000,185,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
185,agent_000,186,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
186,agent_000,187,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,0,1,[],5.0,1.161,0.355
187,agent_000,188,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['personal_info'],5.0,1.161,0.355
188,agent_000,189,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['personal_info'],5.0,1.161,0.355
189,agent_000,190,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['suspicious_link'],5.0,1.161,0.355
190,agent_000,191,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,0,2,[],5.0,1.161,0.355
191,agent_000,192,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
192,agent_000,193,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
193,agent_000,194,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['personal_info'],5.0,1.161,0.355
194,agent_000,195,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
195,agent_000,196,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,1,clicked,1,1,['personal_info'],5.0,1.161,0.355
196,agent_000,197,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
197,agent_000,198,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
198,agent_000,199,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
199,agent_000,200,plain_llm,1,8.0,8am,3,10,30.7,2.6,5.0,0,clicked,0,0,[],5.0,1.161,0.355
200,agent_000,201,hybrid_vtriad,1,8.0,8am,3,10,30.7,2.6,5.0,4,clicked,0,4,[],5.0,1.161,0.355
201,agent_000,202,hybrid_vtriad,1,8.0,8am,3,10,30.7,2.6,5.0,3,reported,3,3,"['urgency', 'threats', 'personal_info']",5.0,1.161,0.355
202,agent_000,203,hybrid_vtriad,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,0,2,[],5.0,1.161,0.355
203,agent_000,204,hybrid_vtriad,1,8.0,8am,3,10,30.7,2.6,5.0,2,clicked,1,2,['personal_info'],5.0,1.161,0.355
